CNTRYID,SEQID,booklet_id,item_id,event_name,event_type,timestamp,event_description
ZA6712_US.data,102,L11,6,stimulus,ItemScore,113066,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""true"" nbHits=""1"" hitWeight=""1"" nbMisses=""0"" missWeight=""0"" nbInteractions=""2"">   <hitList name=""C308A120H1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I3, I4]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,102,L11,6,stimulus,SnapshotRef,113066,http://localhost:8080/cba-runtime/item?custom_service_handler=downloadService&file=/usr/local/jboss-web-2.1.2.GA/temp/snapshot4464370044983830414.xml
ZA6712_US.data,102,L11,6,stimulus,gotoFrame,113066,C308A121
ZA6712_US.data,105,L11,6,stimulus,cba_event,169934,"<cbaloggingmodel:CBAItemLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" name=""de.softcon.cba.runtime.st308balticstock-1278523942"" entryPoint=""C308A120""/> "
ZA6712_US.data,105,L11,6,stimulus,cba_event,192062,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I4"" isSelected=""true""/> "
ZA6712_US.data,105,L11,6,stimulus,cba_event,192690,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I3"" isSelected=""true""/> "
ZA6712_US.data,105,L11,6,taoPIAAC,NEXT_INQUIRY,193927,REQUEST
ZA6712_US.data,105,L11,6,taoPIAAC,NEXT_BUTTON,193927,id=nextInquiry_button
ZA6712_US.data,105,L11,6,taoPIAAC,BUTTON,193928,id=nextInquiry_button
ZA6712_US.data,105,L11,6,taoPIAAC,DOACTION,193928,action=tao_item.nextInquiry
ZA6712_US.data,105,L11,6,stimulus,itemScoreResult,193997,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""true"" nbHits=""1"" hitWeight=""1"" nbMisses=""0"" missWeight=""0"" nbInteractions=""2"">   <hitList name=""C308A120H1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I4, I3]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,105,L11,6,stimulus,ItemScore,193997,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""true"" nbHits=""1"" hitWeight=""1"" nbMisses=""0"" missWeight=""0"" nbInteractions=""2"">   <hitList name=""C308A120H1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I4, I3]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,105,L11,6,stimulus,SnapshotRef,193998,http://localhost:8080/cba-runtime/item?custom_service_handler=downloadService&file=/usr/local/jboss-web-2.1.2.GA/temp/snapshot5499064364536923776.xml
ZA6712_US.data,105,L11,6,stimulus,gotoFrame,193998,C308A121
ZA6712_US.data,121,L11,6,stimulus,cba_event,150949,"<cbaloggingmodel:CBAItemLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" name=""de.softcon.cba.runtime.st308balticstock-1278523942"" entryPoint=""C308A120""/> "
